                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.67156,                0.00949,                0.06625,                0.36616,                  1.006,                0.99512,                      1,                0.99447,                0.83414,                0.99512,                      1,                0.99447,                0.99447,                0.68407,                0.00893,                0.00113,                0.30422,                0.92583,               0.005644,               0.005644,               0.005644
                     68,                0.67542,                0.00989,                0.07458,                0.36521,                 1.0088,                0.99501,                      1,                  0.995,                0.83954,                0.99501,                      1,                  0.995,                  0.995,                0.67506,                0.00888,                  6e-05,                0.29494,                 0.9128,               0.005578,               0.005578,               0.005578
                     69,                0.67268,                0.00943,                0.06018,                0.36425,                 1.0034,                0.99372,                0.99512,                0.99378,                0.81887,                0.99372,                0.99512,                0.99378,                0.99378,                0.70241,                 0.0075,                0.00027,                0.30783,                 0.9376,               0.005512,               0.005512,               0.005512
                     70,                 0.6684,                0.00833,                0.04368,                0.34697,                0.99795,                0.99463,                      1,                0.99485,                 0.8432,                0.99463,                      1,                0.99485,                0.99485,                0.66974,                0.00766,                  7e-05,                  0.285,                0.91356,               0.005446,               0.005446,               0.005446
                     71,                0.68068,                0.00828,                0.05744,                0.35281,                 1.0024,                0.99515,                0.99997,                0.99311,                0.81174,                0.99515,                0.99997,                0.99311,                0.99311,                0.73464,                0.00742,                  5e-05,                0.30182,                 0.9447,                0.00538,                0.00538,                0.00538
                     72,                0.67155,                0.00786,                0.06276,                0.34891,                  1.001,                0.99514,                0.99972,                0.99495,                0.79724,                0.99514,                0.99972,                0.99495,                0.99495,                0.78168,                0.00707,                0.00015,                 0.3124,                0.96286,               0.005314,               0.005314,               0.005314
                     73,                0.67062,                0.00935,                0.05808,                0.34832,                0.99688,                0.99514,                0.99964,                0.99495,                0.78868,                0.99514,                0.99964,                0.99495,                0.99495,                0.80396,                0.00829,                  4e-05,                0.31279,                0.97155,               0.005248,               0.005248,               0.005248
                     74,                 0.6903,                0.00881,                0.05612,                0.35544,                 1.0169,                0.99433,                0.99512,                 0.9949,                0.81976,                0.99433,                0.99512,                 0.9949,                 0.9949,                0.70811,                 0.0085,                0.00082,                0.30565,                 0.9285,               0.005182,               0.005182,               0.005182
                     75,                0.66844,                0.00796,                0.05823,                0.34812,                0.99529,                 0.9946,                0.99512,                 0.9948,                0.83842,                 0.9946,                0.99512,                 0.9948,                 0.9948,                0.66818,                 0.0077,                0.00113,                0.28751,                0.91191,               0.005116,               0.005116,               0.005116
                     76,                0.64523,                0.00803,                0.05639,                0.33071,                0.98655,                0.99514,                0.99922,                0.99495,                 0.8709,                0.99514,                0.99922,                0.99495,                0.99495,                0.56702,                0.00794,                0.00012,                 0.2629,                0.87766,                0.00505,                0.00505,                0.00505
                     77,                0.63346,                0.00839,                0.05888,                0.33224,                0.97742,                0.99514,                0.99972,                 0.9949,                0.85701,                0.99514,                0.99972,                 0.9949,                 0.9949,                0.61326,                0.01049,                0.00018,                0.27507,                0.88796,               0.004984,               0.004984,               0.004984
                     78,                0.65258,                0.00744,                0.05367,                 0.3428,                0.99779,                0.99451,                0.99512,                  0.995,                0.85113,                0.99451,                0.99512,                  0.995,                  0.995,                0.64021,                0.00798,                0.00012,                0.27816,                0.90592,               0.004918,               0.004918,               0.004918
                     79,                 0.6291,                 0.0069,                0.05312,                0.32956,                0.98035,                0.99476,                      1,                0.99495,                0.83619,                0.99476,                      1,                0.99495,                0.99495,                0.69057,                0.00992,                0.00035,                0.28582,                0.92923,               0.004852,               0.004852,               0.004852
                     80,                0.64695,                0.00819,                0.05524,                0.34284,                0.99343,                0.99511,                 0.9924,                  0.995,                0.84685,                0.99511,                 0.9924,                  0.995,                  0.995,                0.62406,                0.00907,                  8e-05,                0.28207,                0.90263,               0.004786,               0.004786,               0.004786
                     81,                0.65254,                0.00745,                0.05877,                 0.3381,                0.99138,                0.99484,                      1,                0.99495,                0.84756,                0.99484,                      1,                0.99495,                0.99495,                0.63661,                0.00707,                0.00042,                0.27887,                0.90193,                0.00472,                0.00472,                0.00472
                     82,                0.64395,                0.00791,                 0.0609,                0.34125,                0.98881,                0.99505,                      1,                0.99442,                0.85134,                0.99505,                      1,                0.99442,                0.99442,                0.61964,                0.00695,                0.00023,                0.28264,                0.89802,               0.004654,               0.004654,               0.004654
                     83,                0.62406,                0.00762,                0.04981,                0.32802,                0.98058,                0.99515,                 0.9999,                0.99495,                0.83949,                0.99515,                 0.9999,                0.99495,                0.99495,                0.62778,                0.00861,                0.00044,                0.26903,                0.89896,               0.004588,               0.004588,               0.004588
                     84,                 0.6376,                 0.0071,                0.05601,                0.33307,                0.98301,                0.99514,                0.99948,                  0.995,                0.81326,                0.99514,                0.99948,                  0.995,                  0.995,                  0.732,                0.00713,                  4e-05,                0.29357,                0.93928,               0.004522,               0.004522,               0.004522
                     85,                 0.6257,                0.00631,                0.05766,                0.32532,                0.98204,                0.99342,                0.99512,                0.99495,                0.84619,                0.99342,                0.99512,                0.99495,                0.99495,                0.63285,                0.00842,                  7e-05,                0.27413,                0.90032,               0.004456,               0.004456,               0.004456
                     86,                 0.6299,                0.00755,                0.06257,                0.33163,                0.98391,                0.99321,                0.99512,                  0.995,                0.84021,                0.99321,                0.99512,                  0.995,                  0.995,                0.64648,                0.00882,                  7e-05,                0.27751,                0.90434,                0.00439,                0.00439,                0.00439
                     87,                0.63147,                0.00721,                0.04068,                0.33466,                0.97601,                0.99514,                0.99973,                0.99408,                0.86219,                0.99514,                0.99973,                0.99408,                0.99408,                0.58261,                0.00793,                0.00022,                0.26737,                0.88157,               0.004324,               0.004324,               0.004324
                     88,                0.63718,                 0.0067,                0.05062,                0.33138,                0.97777,                0.99514,                0.99951,                0.99476,                0.83908,                0.99514,                0.99951,                0.99476,                0.99476,                  0.643,                 0.0094,                0.00016,                0.27616,                0.90768,               0.004258,               0.004258,               0.004258
                     89,                0.64392,                0.00702,                0.05169,                0.33334,                0.98756,                0.99034,                0.99997,                0.99451,                  0.827,                0.99034,                0.99997,                0.99451,                0.99451,                0.71594,                0.00903,                0.00014,                0.27602,                0.93007,               0.004192,               0.004192,               0.004192
                     90,                0.62292,                0.00733,                0.05172,                0.32914,                0.97724,                0.99028,                      1,                  0.995,                0.83585,                0.99028,                      1,                  0.995,                  0.995,                0.68513,                0.00721,                 0.0006,                0.27719,                0.91762,               0.004126,               0.004126,               0.004126
                     91,                0.63151,                0.00844,                0.05136,                0.33149,                0.98115,                0.99514,                 0.9996,                 0.9949,                0.84271,                0.99514,                 0.9996,                 0.9949,                 0.9949,                0.64057,                0.00761,                0.00082,                0.26443,                0.90096,                0.00406,                0.00406,                0.00406
                     92,                0.61487,                0.00793,                  0.057,                0.31503,                0.97474,                0.99458,                0.99512,                 0.9949,                0.84104,                0.99458,                0.99512,                 0.9949,                 0.9949,                0.64499,                 0.0088,                  8e-05,                0.26719,                0.90963,               0.003994,               0.003994,               0.003994
                     93,                0.61198,                0.00678,                0.05729,                   0.32,                0.97249,                0.99514,                0.99961,                0.99495,                0.84831,                0.99514,                0.99961,                0.99495,                0.99495,                0.64872,                0.00741,                0.00037,                0.26371,                0.91583,               0.003928,               0.003928,               0.003928
                     94,                0.62512,                0.00672,                0.04878,                0.31838,                 0.9834,                0.99514,                 0.9996,                0.99495,                0.84479,                0.99514,                 0.9996,                0.99495,                0.99495,                0.65108,                0.00729,                  7e-05,                0.27407,                0.90613,               0.003862,               0.003862,               0.003862
                     95,                0.62142,                0.00633,                0.03479,                0.31106,                0.98362,                0.99421,                0.99512,                  0.995,                0.85998,                0.99421,                0.99512,                  0.995,                  0.995,                0.60316,                0.00769,                 0.0001,                 0.2599,                0.88447,               0.003796,               0.003796,               0.003796
                     96,                0.61162,                0.00815,                0.04274,                0.32031,                0.97697,                0.99514,                0.99962,                  0.995,                0.83058,                0.99514,                0.99962,                  0.995,                  0.995,                0.67628,                0.00855,                0.00019,                0.27594,                 0.9158,                0.00373,                0.00373,                0.00373
                     97,                0.59706,                0.00668,                0.04371,                0.30591,                0.96551,                 0.9946,                0.99512,                0.99485,                0.84672,                 0.9946,                0.99512,                0.99485,                0.99485,                0.64874,                0.00647,                0.00012,                0.26072,                 0.9032,               0.003664,               0.003664,               0.003664
                     98,                0.62252,                0.00643,                0.05294,                0.31818,                0.97608,                0.99514,                0.99971,                 0.9949,                0.87034,                0.99514,                0.99971,                 0.9949,                 0.9949,                0.59843,                0.00663,                 0.0004,                0.26445,                0.88787,               0.003598,               0.003598,               0.003598
